序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603344,C星德胜,39.05,11.57,4.05,331533,1243804728.0,24.14,41.99,33.54,34.3,35.0,1.04,69.57,38.37,4.04,2024-03-21
2,301538,C骏鼎达,99.98,-5.65,-5.99,50480,507036400.34,7.79,105.27,97.02,98.84,105.97,0.71,53.23,28.56,3.53,2024-03-21
3,688695,中创股份,42.41,0.62,0.26,32999,140661628.0,2.33,43.13,42.15,42.15,42.15,0.56,18.35,54.11,4.55,2024-03-21
4,301588,美新科技,30.76,-1.09,-0.34,69914,216743104.37,2.93,31.56,30.65,30.8,31.1,0.61,30.96,48.13,4.11,2024-03-21
5,603341,龙旗科技,53.81,5.61,2.86,192220,1032862850.0,10.79,56.0,50.5,51.08,50.95,1.53,41.29,37.02,4.86,2024-03-21
6,301591,肯特股份,52.96,4.35,2.21,49640,257595180.82,4.75,52.98,50.57,50.73,50.75,1.51,24.89,56.47,5.48,2024-03-21
